"Reported_Date","Header_From","SPF_Authentication_Domain","DKIM_Authentication_Domain","Email_Provider",Domain,"IP_Address","Host_Details",Score,"State_of_IP",Owner,"Email_Volume","DMARC_Pass_Fail","SPF_Authentication","SPF_Alignment","SPF_Policy","DKIM_Authentication","DKIM_Alignment","DKIM_Policy","Policy_evaluated_Disposition","Reason_Comment","Reason_Type"
"02/02/2023 00:00:00","randstadsourceright.co.uk","glasgowclyde.ac.uk",NA,Yahoo,"randstadsourceright.co.uk","104.47.17.108","mail-db8eur05lp2108.outbound.protection.outlook.com",84,"79,0","MICROSOFT-CORP-MSN-AS-BLOCK,IE",1,0,0,0,0,0,0,0,none,NA,NA
"02/03/2023 00:00:00","randstadsourceright.co.uk","randstadsourceright.co.uk",NA,"google.com","randstadsourceright.co.uk","13.110.74.165","smtp06-ia4-sp5.mta.salesforce.com",,,,1,1,1,1,1,0,0,0,none,NA,NA
"02/04/2023 00:00:00","randstadsourceright.co.uk","randstadsourceright.co.uk",NA,"google.com","randstadsourceright.co.uk","13.110.74.181","smtp06-ia4-sp4.mta.salesforce.com",,,,1,1,1,1,1,0,0,0,none,NA,NA
"02/01/2023 00:00:00","randstadsourceright.co.uk","randstadsourceright.co.uk",NA,"google.com","randstadsourceright.co.uk","13.110.74.182","smtp07-ia4-sp4.mta.salesforce.com",,,,1,1,1,1,1,0,0,0,none,NA,NA
"02/03/2023 00:00:00","randstadsourceright.co.uk","randstadsourceright.co.uk",NA,"google.com","randstadsourceright.co.uk","13.110.74.182","smtp07-ia4-sp4.mta.salesforce.com",,,,1,1,1,1,1,0,0,0,none,NA,NA
"02/02/2023 00:00:00","randstadsourceright.co.uk","randstadsourceright.co.uk",NA,"google.com","randstadsourceright.co.uk","13.110.74.183","smtp08-ia4-sp4.mta.salesforce.com",,,,14,1,1,1,1,0,0,0,none,NA,NA
"02/02/2023 00:00:00","randstadsourceright.co.uk","randstadsourceright.co.uk",NA,"google.com","randstadsourceright.co.uk","13.110.74.184","smtp09-ia4-sp4.mta.salesforce.com",,,,12,1,1,1,1,0,0,0,none,NA,NA
"02/02/2023 00:00:00","randstadsourceright.co.uk","randstadsourceright.co.uk",NA,"google.com","randstadsourceright.co.uk","13.110.74.190","smtp15-ia4-sp4.mta.salesforce.com",,,,2,1,1,1,1,0,0,0,none,NA,NA
"02/01/2023 00:00:00","randstadsourceright.co.uk","sendgrid.net","sendgrid.net",Yahoo,"randstadsourceright.co.uk","149.72.54.14","o9.smtp.talent-community.com",,,,1,0,1,0,0,1,0,0,none,NA,NA
"02/02/2023 00:00:00","randstadsourceright.co.uk","sendgrid.net","sendgrid.net",Yahoo,"randstadsourceright.co.uk","149.72.54.14","o9.smtp.talent-community.com",,,,1,0,1,0,0,1,0,0,none,NA,NA
